technical_interests,interests,non_technical_interests,achievements,career
biology,literature,cooking,philanthropic work,40
statistics,social media,innovation,social media influence,24
operating systems,human rights,politics,charity work,40
machine learning,media and communications,culture,certifications,28
3D printing,animals,business,scientific research awards,13
chemistry,space,law,mathematics competition wins,12
AR/VR,politics,geography,literary awards,11
biology,psychology,languages,leadership roles,13
bioinformatics,entrepreneurship,literature,patents,23
natural language processing,literature,writing,sports achievements,16
natural language processing,innovation,innovation,community building,10
mechanics,culture,culture,literary awards,19
database management,politics,nature,public speaking awards,27
artificial intelligence,history,law,startups,33
AR/VR,human rights,fashion,scientific research awards,33
data analysis,education,gaming,robotics competition wins,15
IoT,art,sociology,science fair awards,7
biology,education,writing,social initiatives,13
chemistry,philosophy,sports,musical achievements,14
algorithm design,technology,music,science fair awards,27
natural language processing,writing,politics,travel experiences,17
operating systems,culture,animals,publications,35
electronics,human rights,animals,fundraising efforts,10
natural language processing,culture,entrepreneurship,recognition,11
networking,education,sociology,leadership roles,14
computer architecture,video editing,philosophy,special projects,13
ux/ui,cooking,culture,startups,17
computer architecture,fitness,economics,sports achievements,25
ux/ui,traveling,entrepreneurship,business ventures,32
coding,anatomy,philosophy,volunteer work,33
ux/ui,traveling,finance,entrepreneurial ventures,24
physics,photography,politics,musical achievements,16
data analysis,leadership,economics,scientific research awards,22
big data,entrepreneurship,cooking,artistic accomplishments,8
computational biology,media and communications,literature,debate competition wins,25
mechanics,gaming,literature,recognition,9
software testing,technology,technology,leadership roles,21
algorithm design,animals,architecture,artistic accomplishments,38
computer architecture,health,entrepreneurship,grants,22
game development,innovation,culture,sports achievements,24
computational biology,leadership,culture,scholarships,11
AR/VR,fitness,culture,scientific research awards,10
mechanics,science,cooking,sports achievements,28
artificial intelligence,fitness,law,leadership roles,20
geographic information systems,fashion,philosophy,sports achievements,25
data analysis,video editing,writing,awards,15
chemistry,education,literature,literary awards,16
geographic information systems,space,space,internship experiences,11
IoT,community service,health,grants,7
biology,fitness,art,community building,28
data analysis,gaming,gaming,science fair awards,24
database management,creativity,health,patents,9
IoT,space,law,community service awards,30
natural language processing,science,sports,public speaking awards,3
computational biology,sports,philosophy,volunteer work,15
statistics,volunteering,art,community service awards,10
cybersecurity,cooking,chemistry,writing competition wins,12
algorithm design,environmental sustainability,nature,awards,25
logical thinking,sports,photography,exhibitions,15
electronics,history,business,business ventures,14
natural language processing,finance,medicine,robotics competition wins,32
database management,environmental sustainability,languages,literary awards,5
database management,social media,law,writing competition wins,35
machine learning,art,education,sports achievements,5
computer architecture,human rights,sociology,charity work,3
networking,business,philosophy,community service awards,20
blockchain,community service,economics,science fair awards,35
machine learning,fashion,chemistry,startups,2
web development,writing,physics,patents,15
statistics,social media,finance,writing competition wins,17
software testing,innovation,languages,community service awards,16
cybersecurity,culture,gaming,charity work,2
statistics,environmental sustainability,sociology,certifications,15
3D printing,leadership,geography,recognition,31
operating systems,history,physics,mathematics competition wins,2
cloud computing,environmental sustainability,culture,leadership roles,40
game development,social media,health,academic excellence,40
computational biology,design,sociology,patents,26
natural language processing,culture,entrepreneurship,travel experiences,22
mathematics,gaming,leadership,leadership roles,20
computer vision,psychology,health,social media influence,39
mechanics,sociology,space,robotics competition wins,36
computer vision,environmental sustainability,innovation,performances,20
big data,fitness,architecture,robotics competition wins,31
computational biology,social media,animals,philanthropic work,17
computer architecture,volunteering,sociology,fundraising efforts,25
